thickness_mm,net_counts
0.0,45585
0.5,44601
1.0,44527
1.5,44488
2.0,43458
2.5,43095
3.0,43404
3.5,42743
4.0,41940
4.5,41952
5.0,41924
5.5,40900
6.0,40805
6.5,39724
7.0,39456
7.5,39518
8.0,39037
8.5,39154
9.0,38423
9.5,37938
10.0,38052
10.5,37688
11.0,37467
11.5,36683
12.0,36652
12.5,36550
13.0,35856
13.5,36024
14.0,35426
14.5,35223
15.0,34388
15.5,35280
16.0,34431
16.5,33839
17.0,34101
17.5,33230
18.0,33359
18.5,32471
19.0,32375
19.5,32527
20.0,31880
20.5,31979
21.0,31634
21.5,31320
22.0,30747
22.5,30689
23.0,30501
23.5,30642
24.0,30201
24.5,29413
25.0,29657
25.5,29268
26.0,28951
26.5,29028
27.0,28889
27.5,28623
28.0,27957
28.5,27850
29.0,27769
29.5,27690
30.0,27202
30.5,26960
31.0,26525
31.5,26283
32.0,26516
32.5,26418
33.0,25879
33.5,25900
34.0,25543
34.5,25112
35.0,24895
35.5,25161
36.0,24617
36.5,24748
37.0,23677
37.5,24182
38.0,23830
38.5,23553
39.0,23435
39.5,22829
40.0,22937
40.5,22905
41.0,22933
41.5,22356
42.0,22114
42.5,21987
43.0,22070
43.5,21776
44.0,21436
44.5,21448
45.0,21276
45.5,21173
46.0,20698
46.5,20591
47.0,20408
47.5,20053
48.0,20188
48.5,20013
49.0,19803
49.5,19597
50.0,19386
50.5,19240
51.0,19093
51.5,18859
52.0,18804
52.5,18738
53.0,18819
53.5,18390
54.0,18250
54.5,18046
55.0,17944
55.5,17753
56.0,17618
56.5,17834
57.0,17288
57.5,17216
58.0,17023
58.5,16718
59.0,16910
59.5,16713
60.0,16650
