thickness_mm,net_counts
0.0,127115
0.25,123830
0.5,123541
0.75,123381
1.0,119534
1.25,118179
1.5,119310
1.75,116858
2.0,113896
2.25,113928
2.5,111337
2.75,110072
3.0,109717
3.25,105809
3.5,104837
3.75,105049
4.0,103319
4.25,103725
4.5,101113
4.75,99387
5.0,99825
5.25,98486
5.5,97699
5.75,94943
6.0,94825
6.25,94462
6.5,92041
6.75,92615
7.0,90540
7.25,89833
7.5,88498
7.75,90008
8.0,87092
8.25,85074
8.5,85954
8.75,83000
9.0,83424
9.25,80440
9.5,80110
9.75,80608
10.0,78748
10.25,78768
10.5,77618
10.75,76574
11.0,74684
11.25,74487
11.5,73863
11.75,74316
12.0,72872
12.25,70315
12.5,71213
12.75,69832
13.0,68808
13.25,69048
13.5,68596
13.75,67741
14.0,65618
14.25,65273
14.5,65011
14.75,64754
15.0,62348
15.25,62452
15.5,61092
15.75,60337
16.0,61052
16.25,60740
16.5,59070
16.75,59129
17.0,58028
17.25,56707
17.5,56720
17.75,56843
18.0,55188
18.25,55579
18.5,52359
18.75,53863
19.0,52802
19.25,51972
19.5,51615
19.75,49820
20.0,50171
20.25,50033
20.5,50110
20.75,48413
21.0,47705
21.25,47331
21.5,47566
21.75,46710
22.0,45725
22.25,45754
22.5,45019
22.75,44959
23.0,43600
23.25,43293
23.5,42770
23.75,41766
24.0,42139
24.25,41645
24.5,41052
24.75,40474
25.0,40800
