thickness_mm,net_counts
0.0,128591
0.25,126960
0.5,125758
0.75,124603
1.0,122445
1.25,120988
1.5,120229
1.75,118497
2.0,116635
2.25,115613
2.5,113878
2.75,112522
3.0,111430
3.25,109364
3.5,108126
3.75,107229
4.0,105804
4.25,104981
4.5,103335
4.75,101945
5.0,101628
5.25,99904
5.5,98806
5.75,97175
6.0,96284
6.25,95334
6.5,93828
6.75,93156
7.0,91767
7.25,90762
7.5,89596
7.75,89212
8.0,87637
8.25,86312
8.5,85789
8.75,84227
9.0,83599
9.25,82045
9.5,81229
9.75,80647
10.0,79203
10.25,78733
10.5,77726
10.75,76757
11.0,75565
11.25,74843
11.5,74013
11.75,73480
12.0,72444
12.25,71112
12.5,70726
12.75,69730
13.0,68837
13.25,68293
13.5,67569
13.75,66744
14.0,65586
14.25,64913
14.5,64269
14.75,63633
15.0,62611
15.25,61902
15.5,60990
15.75,60247
16.0,59906
16.25,59294
16.5,58327
16.75,57827
17.0,57025
17.25,56169
17.5,55676
17.75,55216
18.0,54291
18.25,53915
18.5,52580
18.75,52517
19.0,51773
19.25,51095
19.5,50549
19.75,49624
20.0,49300
20.25,48807
20.5,48395
20.75,47522
21.0,46914
21.25,46400
21.5,46052
21.75,45420
22.0,44760
22.25,44372
22.5,43787
22.75,43384
23.0,42644
23.25,42186
23.5,41676
23.75,41042
24.0,40778
24.25,40288
24.5,39777
24.75,39274
25.0,38938
