thickness_mm,net_counts
0.0,260193
0.25,254931
0.5,250077
0.75,245599
1.0,233124
1.25,226371
1.5,216338
1.75,216231
2.0,206634
2.25,203293
2.5,194852
2.75,189202
3.0,183417
3.25,175090
3.5,170433
3.75,168004
4.0,162190
4.25,160219
4.5,153091
4.75,147734
5.0,148897
5.25,141455
5.5,137879
5.75,131325
6.0,130285
6.25,126312
6.5,120667
6.75,119509
7.0,114591
7.25,111717
7.5,110772
7.75,108302
8.0,102657
8.25,98345
8.5,97848
8.75,92535
9.0,92732
9.25,86422
9.5,84607
9.75,83793
10.0,81938
10.25,78983
10.5,77957
10.75,74020
11.0,70789
11.25,69417
11.5,67632
11.75,66976
12.0,65243
12.25,60889
12.5,60744
12.75,58445
13.0,56539
13.25,55824
13.5,54355
13.75,52855
14.0,50161
14.25,49044
14.5,48019
14.75,47019
15.0,45207
15.25,43673
15.5,41906
15.75,40645
16.0,40507
16.25,39611
16.5,37627
16.75,37179
17.0,35804
17.25,34317
17.5,33759
17.75,33284
18.0,31805
18.25,31395
18.5,28879
18.75,29319
19.0,28201
19.25,27247
19.5,26515
19.75,25137
20.0,24973
20.25,24431
20.5,24070
20.75,22777
21.0,22077
21.25,21481
21.5,21245
21.75,20474
22.0,19661
22.25,19351
22.5,18218
