thickness_mm,net_counts
0.0,107312
0.5,107911
1.0,106899
1.5,106092
2.0,99722
2.5,97197
3.0,98349
3.5,94266
4.0,88212
4.5,89138
5.0,85096
5.5,82937
6.0,82027
6.5,76471
7.0,74825
7.5,74702
8.0,74429
8.5,72262
9.0,68678
9.5,66246
10.0,68520
10.5,64494
11.0,63243
11.5,59771
12.0,60825
12.5,58612
13.0,55659
13.5,55986
14.0,53480
14.5,52459
15.0,50805
15.5,52092
16.0,49682
16.5,46602
17.0,47220
17.5,44123
18.0,44294
18.5,41282
19.0,40765
19.5,41004
20.0,40378
20.5,38933
21.0,37723
21.5,36627
22.0,34843
22.5,34497
23.0,33804
23.5,33996
24.0,32545
24.5,30470
25.0,31006
25.5,29782
26.0,28853
26.5,28881
27.0,28394
27.5,27618
28.0,26586
28.5,25574
29.0,25258
29.5,24948
30.0,23597
30.5,23140
31.0,22129
31.5,21529
32.0,21800
32.5,21559
33.0,20403
33.5,20332
34.0,19557
34.5,18670
35.0,18579
35.5,18554
36.0,17893
36.5,17636
37.0,15767
37.5,16499
38.0,15839
38.5,15316
39.0,15049
39.5,14051
40.0,14308
40.5,14011
41.0,13976
41.5,13072
42.0,12665
42.5,12423
43.0,12467
43.5,12005
44.0,11658
44.5,11449
45.0,11063
45.5,10979
46.0,10338
46.5,10155
47.0,9884
47.5,9423
48.0,9531
48.5,9277
49.0,8994
49.5,8723
50.0,8298
50.5,8255
51.0,8059
51.5,7781
52.0,7372
52.5,7578
53.0,7616
53.5,7165
54.0,6996
54.5,6772
55.0,6354
55.5,6440
56.0,6086
56.5,6441
57.0,5943
57.5,5852
58.0,5664
58.5,5393
59.0,5513
59.5,5330
60.0,5232
