material,N_actual,N_label,noise_tier,noise_std,pinn_rpe_mean,pinn_rpe_median,pinn_rpe_std,pinn_outliers,wnlls_rpe_mean,wnlls_rpe_median,wnlls_rpe_std,wnlls_failures,wnlls_outliers,gp_rpe_mean,gp_rpe_median,gp_rpe_std,gp_outliers,pval_wnlls_vs_pinn,excl_wnlls_vs_pinn,pval_gp_vs_pinn,excl_gp_vs_pinn,pval_wnlls_vs_gp,excl_wnlls_vs_gp
Aluminum,5,5,0,0.0,0.0803816056692885,0.08086560230759048,0.0035758834540289023,0,0.10300556449120594,0.10300556449120597,2.7755575615628914e-17,0,0,0.8631241637172206,0.8631241637172207,1.1102230246251565e-16,0,0.9999991333466779,0,0.9999991333466779,0,2.160231528913744e-08,0
Aluminum,5,5,1,0.0316,3.9697870030372115,3.1314712107031486,3.0385335707263548,0,3.9155648549834887,3.200920914013624,2.6773099884976745,0,0,3.4904305436760357,2.8899015590466757,2.5588081626640315,0,0.5080832093954086,0,0.15919804014265537,0,0.9114036448299885,0
Aluminum,5,5,2,0.1,12.531002676874559,10.913065103896749,8.029730861180056,0,9.707844479317684,7.426836579052184,8.266817659658892,0,0,9.348145604200942,8.559659679771151,7.2837616692175065,0,0.004650561138987541,0,0.005651530809700489,0,0.6939971931278706,0
Aluminum,5,5,3,0.3162,36.425737600005235,34.73511410637941,22.560320671847247,0,31.17561555132912,25.082957459271306,23.728246793319652,0,0,40.186221497788615,29.1569570026979,32.66074343655239,0,0.03333235438913107,0,0.6039204532280564,0,0.0030974959954619408,0
Aluminum,5,5,4,0.5623,52.36394979331966,46.491731121922385,47.726402283665614,1,53.01033799173008,46.64860396841431,39.842468621691275,5,0,71.69459150653314,91.78602928436808,35.609183055422854,0,0.5210774838924408,5,0.9452839707955718,0,0.03335079550743103,5
Aluminum,13,ALL,0,0.0,0.18704713259080194,0.18570438445730308,0.03832215910027334,0,0.5562179699944906,0.5562179699944906,0.0,0,0,0.02733347281616838,0.02733347281616838,0.0,0,1.0,0,9.313225746154785e-10,0,0.9999999783976847,0
Aluminum,13,ALL,1,0.0316,3.168498569114126,2.6651124912093707,2.427095591853069,0,2.2044264419284607,1.8369742015358241,1.547080987927897,0,0,2.212803851173062,2.2261595810248096,1.363636043807564,0,0.013114497065544128,0,0.022453604266047478,0,0.30600280687212944,0
Aluminum,13,ALL,2,0.1,11.651471997126771,9.285094248856538,8.52549670837406,0,7.954519652551022,6.441963055682245,5.292465087707297,0,0,7.699542941327246,8.204540332659981,5.5220164509309,0,0.006831620819866657,0,0.004650561138987541,0,0.619467263109982,0
Aluminum,13,ALL,3,0.3162,27.633239665775957,20.08731597573742,19.917077701248623,0,23.70676245247827,23.13199159235584,17.0311095214062,0,0,24.58565694855407,18.537430178627005,18.28568064258033,0,0.2199833830818534,0,0.3882844168692827,0,0.39607954677194357,0
Aluminum,13,ALL,4,0.5623,44.59189178525116,35.250939911516625,30.506267682742376,0,48.565479839797945,47.31192640967876,32.00092458719268,7,0,65.36211873856035,61.65476823872014,27.010865519550578,0,0.7495473623275757,7,0.9983885055407882,0,0.1233745813369751,7
Copper,5,5,0,0.0,0.13774233565791447,0.1373159448501846,0.008473487393224604,0,0.11796729993256115,0.11796729993256115,0.0,0,0,0.036651481771411656,0.03665148177141166,6.938893903907228e-18,0,9.313225746154785e-10,0,9.313225746154785e-10,0,0.9999999783976847,0
Copper,5,5,1,0.0316,3.1189726516771343,2.6410520049153936,2.159278253615795,0,2.9928442702483227,2.4993794532376157,2.0664976086933082,0,0,2.8455263483021485,2.0384776673216103,2.123088967903771,0,0.3575664833188057,0,0.11832617223262787,0,0.7919350508600473,0
Copper,5,5,2,0.1,7.96980219126522,7.467596967347469,6.4452328646331685,0,7.599996303960341,6.845882111621292,5.627301382144741,0,0,8.014216664219859,7.17098657576441,6.15471251829183,0,0.3131731441244483,0,0.6039204532280564,0,0.23227252252399921,0
Copper,5,5,3,0.3162,29.13726093131608,28.029087637725112,15.126743358249211,0,28.543435343755768,26.94181941186766,16.910476860882163,0,0,34.29763151010549,28.271319153656115,22.826950519008598,0,0.41178847197443247,0,0.9240565402433276,0,0.06206723116338253,0
